#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000003l_381       -            648 1592033at2           -            393   4.4e-06   24.9   0.8   1   2   3.5e-08   1.1e-05   23.6   0.0   193   366   166   340   130   370 0.70 # 569877 # 571820 # -1 # ID=3_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ptg000003l_381       -            648 1592033at2           -            393   4.4e-06   24.9   0.8   2   2       5.8   1.8e+03   -3.5   0.1   311   380   450   518   430   528 0.64 # 569877 # 571820 # -1 # ID=3_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ptg000007l_340       -            192 1592033at2           -            393   5.6e-06   24.6   0.0   1   2   3.4e-05     0.011   13.7   0.0   190   247    13    69     6    73 0.82 # 523405 # 523980 # 1 # ID=7_340;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ptg000007l_340       -            192 1592033at2           -            393   5.6e-06   24.6   0.0   2   2    0.0016      0.51    8.2   0.0   300   322   119   154    85   190 0.59 # 523405 # 523980 # 1 # ID=7_340;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ptg000015l_51        -            406 1592033at2           -            393   2.2e-05   22.6   0.0   1   1   1.3e-07   4.1e-05   21.7   0.0   192   240    14    63    11    70 0.88 # 73367 # 74584 # -1 # ID=15_51;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
ptg000003l_327       -            199 1592033at2           -            393   8.3e-05   20.7   1.7   1   2    0.0042       1.3    6.9   0.0   191   221    14    44     7    64 0.85 # 482238 # 482834 # -1 # ID=3_327;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372
ptg000003l_327       -            199 1592033at2           -            393   8.3e-05   20.7   1.7   2   2   0.00012     0.037   12.0   0.4   276   347    95   183    92   195 0.71 # 482238 # 482834 # -1 # ID=3_327;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372
ptg000014l_38        -            211 1592033at2           -            393   0.00017   19.7   0.0   1   1   7.7e-07   0.00024   19.2   0.0   181   220    28    65    19    68 0.79 # 56204 # 56836 # 1 # ID=14_38;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000002l_193       -            395 1592033at2           -            393   0.00029   18.9   0.1   1   2   2.8e-06   0.00089   17.3   0.0   195   240    21    67     6    72 0.86 # 281476 # 282660 # -1 # ID=2_193;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ptg000002l_193       -            395 1592033at2           -            393   0.00029   18.9   0.1   2   2       2.3   7.3e+02   -2.2   0.3   290   381   113   209   108   218 0.70 # 281476 # 282660 # -1 # ID=2_193;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ptg000001l_93        -            216 1592033at2           -            393    0.0008   17.5   0.4   1   1   1.6e-05    0.0049   14.9   0.4   270   353    90   183     8   197 0.71 # 140879 # 141526 # -1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=7bp;gc_cont=0.407
ptg000014l_37        -            273 1592033at2           -            393    0.0016   16.5   0.0   1   1   9.4e-06     0.003   15.6   0.0   272   318   221   266   216   270 0.91 # 54845 # 55663 # 1 # ID=14_37;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=4bp;gc_cont=0.422
ptg000014l_221       -            221 1592033at2           -            393    0.0018   16.3   0.4   1   2       1.4   4.3e+02   -1.4   0.0   195   216    13    34     9    42 0.81 # 327412 # 328074 # -1 # ID=14_221;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ptg000014l_221       -            221 1592033at2           -            393    0.0018   16.3   0.4   2   2     2e-05    0.0064   14.5   0.4   271   361    83   190    81   216 0.67 # 327412 # 328074 # -1 # ID=14_221;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ptg000005l_755       -            315 1592033at2           -            393    0.0032   15.5   0.7   1   2   3.8e-05     0.012   13.6   0.1   193   219   132   158   126   165 0.90 # 1125610 # 1126554 # 1 # ID=5_755;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
ptg000005l_755       -            315 1592033at2           -            393    0.0032   15.5   0.7   2   2      0.89   2.8e+02   -0.8   0.1   297   330   237   269   226   276 0.65 # 1125610 # 1126554 # 1 # ID=5_755;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
ptg000007l_162       -            209 1592033at2           -            393    0.0035   15.3   0.4   1   1   3.3e-05     0.011   13.8   0.4   189   352     3   178     1   198 0.74 # 250698 # 251324 # 1 # ID=7_162;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.384
ptg000002l_399       -            856 1592033at2           -            393    0.0039   15.2   0.3   1   2   3.4e-05     0.011   13.8   0.0   173   226   166   219   155   222 0.87 # 575473 # 578040 # -1 # ID=2_399;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
ptg000002l_399       -            856 1592033at2           -            393    0.0039   15.2   0.3   2   2       3.9   1.2e+03   -2.9   0.1   273   321   334   379   328   412 0.62 # 575473 # 578040 # -1 # ID=2_399;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
ptg000009l_161       -            224 1592033at2           -            393    0.0039   15.2   0.1   1   2     0.012       3.8    5.4   0.0   194   250    13    71    10    74 0.79 # 215433 # 216104 # -1 # ID=9_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ptg000009l_161       -            224 1592033at2           -            393    0.0039   15.2   0.1   2   2    0.0019       0.6    8.0   0.0   277   357    90   181    82   199 0.69 # 215433 # 216104 # -1 # ID=9_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ptg000011l_338       -            211 1592033at2           -            393    0.0042   15.1   0.5   1   2      0.97     3e+02   -0.9   0.0   197   223    10    35     3    65 0.71 # 490898 # 491530 # -1 # ID=11_338;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.415
ptg000011l_338       -            211 1592033at2           -            393    0.0042   15.1   0.5   2   2   3.7e-05     0.012   13.6   0.1   271   361    78   182    76   207 0.68 # 490898 # 491530 # -1 # ID=11_338;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.415
ptg000003l_540       -            193 1592033at2           -            393    0.0074   14.3   0.1   1   1   0.00032       0.1   10.6   0.1   201   321    32   143    26   164 0.75 # 803380 # 803958 # -1 # ID=3_540;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
ptg000008l_682       -            223 1592033at2           -            393    0.0098   13.9   0.0   1   2     0.007       2.2    6.1   0.0   194   250    13    71    10    75 0.87 # 1014641 # 1015309 # -1 # ID=8_682;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
ptg000008l_682       -            223 1592033at2           -            393    0.0098   13.9   0.0   2   2    0.0084       2.6    5.9   0.0   277   359    90   183    81   203 0.68 # 1014641 # 1015309 # -1 # ID=8_682;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
