#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000005l:196448-198622 -            725 28907at4891          -            239   1.8e-10   31.4   1.3   1   5    0.0025    0.0046    7.2   0.0   161   215    31    86    23   108 0.81 -
ptg000005l:196448-198622 -            725 28907at4891          -            239   1.8e-10   31.4   1.3   2   5   0.00048    0.0009    9.5   0.2    80   137   111   172   100   177 0.83 -
ptg000005l:196448-198622 -            725 28907at4891          -            239   1.8e-10   31.4   1.3   3   5     0.026     0.048    3.9   0.0   181   215   206   242   186   251 0.78 -
ptg000005l:196448-198622 -            725 28907at4891          -            239   1.8e-10   31.4   1.3   4   5      0.01     0.019    5.2   0.1   187   215   257   286   243   303 0.65 -
ptg000005l:196448-198622 -            725 28907at4891          -            239   1.8e-10   31.4   1.3   5   5       1.4       2.6   -1.8   0.0   188   236   300   350   286   353 0.69 -
ptg000017l:516070-516795 -            242 28907at4891          -            239   2.3e-10   31.1   1.5   1   4      0.96       1.8   -1.3   0.0    69    97     2    30     1    35 0.60 -
ptg000017l:516070-516795 -            242 28907at4891          -            239   2.3e-10   31.1   1.5   2   4   0.00042   0.00078    9.7   0.0    65    98    41    74    32    82 0.82 -
ptg000017l:516070-516795 -            242 28907at4891          -            239   2.3e-10   31.1   1.5   3   4     0.024     0.044    4.0   0.0   194   214   111   131    93   142 0.80 -
ptg000017l:516070-516795 -            242 28907at4891          -            239   2.3e-10   31.1   1.5   4   4   3.1e-05   5.7e-05   13.4   0.0   153   214   176   236   154   241 0.66 -
ptg000008l:609464-610291 -            276 28907at4891          -            239   6.5e-09   26.3   1.2   1   4      0.77       1.4   -1.0   0.0   174   215    23    65     4    81 0.71 -
ptg000008l:609464-610291 -            276 28907at4891          -            239   6.5e-09   26.3   1.2   2   4   6.7e-06   1.2e-05   15.6   0.0   154   212    85   145    75   148 0.87 -
ptg000008l:609464-610291 -            276 28907at4891          -            239   6.5e-09   26.3   1.2   3   4    0.0089     0.016    5.4   0.0   175   215   148   193   146   201 0.75 -
ptg000008l:609464-610291 -            276 28907at4891          -            239   6.5e-09   26.3   1.2   4   4      0.11      0.21    1.8   0.2   180   220   198   241   192   252 0.67 -
ptg000010l:74452-75246   -            265 28907at4891          -            239   1.9e-08   24.8   0.2   1   2     6e-06   1.1e-05   15.8   0.1    81   218    16   168     5   174 0.63 -
ptg000010l:74452-75246   -            265 28907at4891          -            239   1.9e-08   24.8   0.2   2   2     0.047     0.088    3.0   0.0   194   219   198   223   174   237 0.78 -
ptg000010l:113075-114058 -            328 28907at4891          -            239   5.3e-08   23.4   0.6   1   3      0.96       1.8   -1.3   0.0   183   213    33    64    24    89 0.70 -
